EmpID,FirstName,LastName,StartDate,ExitDate,Title,Supervisor,ADEmail,BusinessUnit,EmployeeStatus,EmployeeType,PayZone,EmployeeClassificationType,TerminationType,TerminationDescription,DepartmentType,Division,DOB,State,JobFunctionDescription,GenderCode,LocationCode,RaceDesc,MaritalDesc,Performance_Score,Current_Employee_Rating,LoadUser,LoadTimestamp,RowHash
3427,Uriah,Bridges,20-Sep-19,,Production Technician I,Peter Oneill,uriah.bridges@bilearner.com,CCDR,Active,Contract,Zone C,Temporary,Unk,,Production       ,Finance & Accounting,07-10-1969,MA,Accounting,Female,34904,White,Widowed,Fully Meets,4,Dave,2025-09-09 11:08:24.768614,bd232a96d579ef5a6160a16775381f2b4f47b3ccc4b9cc12e63822ddaa130569
3428,Paula,Small,11-Feb-23,,Production Technician I,Renee Mccormick,paula.small@bilearner.com,EW,Active,Contract,Zone A,Part-Time,Unk,,Production       ,Aerial,30-08-1965,MA,Labor,Male,6593,Hispanic,Widowed,Fully Meets,3,Dave,2025-09-09 11:08:24.768614,0b28827132b5de82aeed4ed93e12850a8da27b4ab4113263346905a240a1ba3e
3429,Edward,Buck,10-Dec-18,,Area Sales Manager,Crystal Walker,edward.buck@bilearner.com,PL,Active,Full-Time,Zone B,Part-Time,Unk,,Sales,General - Sga,06-10-1991,MA,Assistant,Male,2330,Hispanic,Widowed,Fully Meets,4,Dave,2025-09-09 11:08:24.768614,07fd41f9dc0fe35bbe05b2ac701892e69daefb5b1b6266c808353db4f71d574c
3430,Michael,Riordan,21-Jun-21,,Area Sales Manager,Rebekah Wright,michael.riordan@bilearner.com,CCDR,Active,Contract,Zone A,Full-Time,Unk,,Sales,Finance & Accounting,04-04-1998,ND,Clerk,Male,58782,Other,Single,Fully Meets,2,Dave,2025-09-09 11:08:24.768614,eb33cd70007113d2b424671e493fae7b4558203bc336a203d5963c935ad3d8c0
3431,Jasmine,Onque,29-Jun-19,,Area Sales Manager,Jason Kim,jasmine.onque@bilearner.com,TNS,Active,Contract,Zone A,Temporary,Unk,,Sales,General - Con,29-08-1969,FL,Laborer,Female,33174,Other,Married,Fully Meets,3,Dave,2025-09-09 11:08:24.768614,3f588b4831cc4090fec00077e8e0d0df64d6132e01f8b1f5774523516f9e8f2b
3432,Maruk,Fraval,17-Jan-20,,Area Sales Manager,Sheri Campos,maruk.fraval@bilearner.com,BPC,Active,Contract,Zone B,Full-Time,Unk,,Sales,Field Operations,03-04-1949,CT,Driver,Male,6050,Black,Married,Fully Meets,3,Dave,2025-09-09 11:08:24.768614,609000711266cd7e7cf4dbf08f4fc1e831ec2a398d55fed37ea4d039b850c235
3433,Latia,Costa,06-Apr-22,03-Jul-23,Area Sales Manager,Jacob Braun,latia.costa@bilearner.com,WBL,Active,Full-Time,Zone B,Temporary,Involuntary,Me see picture nature degree benefit.,Sales,General - Eng,01-07-1942,CA,Technician,Female,90007,Hispanic,Divorced,Exceeds,4,Dave,2025-09-09 11:08:24.768614,278352ea639b7353ef95519bea71414dcb84b3c213572d9147234ea095049e88
3434,Sharlene,Terry,06-Nov-20,29-Jan-23,Area Sales Manager,Tracy Marquez,sharlene.terry@bilearner.com,CCDR,Active,Contract,Zone C,Full-Time,Involuntary,Blue community type skill story.,Sales,Engineers,07-03-1957,OR,Engineer,Female,97756,White,Divorced,Fully Meets,2,Dave,2025-09-09 11:08:24.768614,ca1eae9e9953caa3753dc5cc9ee274ee4bea582fb2d67ccc69a07c8f8554f66c
3435,Jac,McKinzie,18-Aug-18,,Area Sales Manager,Sharon Becker,jac.mckinzie@bilearner.com,NEL,Active,Contract,Zone B,Part-Time,Unk,,Sales,Executive,15-05-1974,TX,Executive Assistant,Male,78789,Black,Widowed,Exceeds,3,Dave,2025-09-09 11:08:24.768614,4e6480d6d6ce5d8c1628ee58b99385fd2e34c5b18c8a13d4b29bc27fce1fef78
3436,Joseph,Martins,21-Jan-22,29-Jun-23,Area Sales Manager,George Jenkins,joseph.martins@bilearner.com,BPC,Active,Part-Time,Zone B,Temporary,Resignation,Summer personal bag.,Sales,Engineers,11-11-1949,TX,Engineer,Male,78207,Asian,Widowed,Fully Meets,5,Dave,2025-09-09 11:08:24.768614,a06d000cdbda109bf84bf547bc025c09310237da317c3d55c8b41a5ade0b02aa
3437,Myriam,Givens,04-Aug-23,,Area Sales Manager,Troy White,myriam.givens@bilearner.com,SVG,Active,Contract,Zone B,Temporary,Unk,,Sales,Field Operations,26-01-1964,IN,Technician,Female,46204,Other,Single,Fully Meets,5,Dave,2025-09-09 11:08:24.768614,4bdd8d54f7d00f16525d8e2b5f47b21c5aba4ad17656791ce410e8e9ffd1c81e
3438,Dheepa,Nguyen,10-Aug-18,04-Nov-19,Area Sales Manager,Brian Miller,dheepa.nguyen@bilearner.com,MSC,Active,Full-Time,Zone C,Temporary,Retirement,Alone once than. More condition pay far.,Sales,General - Con,06-04-1948,GA,Technician,Female,30428,Asian,Married,Fully Meets,3,Dave,2025-09-09 11:08:24.768614,cc761a8c865593b800ccf9ba80317b3dbbf7b5e87d9f0c29e42d95f910caebc7
3439,Bartholemew,Khemmich,25-May-22,27-Nov-22,Area Sales Manager,Charles Parks,bartholemew.khemmich@bilearner.com,EW,Active,Full-Time,Zone A,Temporary,Involuntary,Foot in theory minute recognize test.,Sales,Splicing,24-11-1981,CO,Splicer,Male,80820,Other,Single,Fully Meets,3,Dave,2025-09-09 11:08:24.768614,38f79ac8989bddaa1eb7c308889cc39e1fbc6007041ae924f54a59bffaa3b36d
